paper_id,paper,year,venue,task,representation,granulation,split_criterion,merge_criterion,stop_criterion,uncertainty,decision,downstream,dataset,noise,baseline,main_gain,code,author_weakness,suspected_weakness,evidence_level,source_url,notes
P0011,"Synergy of Granular Computing, Shadowed Sets, and Three-way Decisions",2020,Information Sciences,decision analysis,shadowed set,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2019.09.003,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0012,Attribute Reduction Method Based on Improved Granular Ball Neighborhood Rough Set,2022,2022 7th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA),classification; feature selection,granular ball; rough-set neighborhood; rough-set approximation,granular-ball generation; neighborhood,radius/distance,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision; ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/icccbda55098.2022.9778889,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0013,Rule Inference Network based on Improved Granular Ball Neighborhood Rough Set,2024,2024 7th International Conference on Intelligent Robotics and Control Engineering (IRCE),classification; feature selection,granular ball; rough-set neighborhood; rough-set approximation,granular-ball generation; neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision; ranking/selection,neural network; rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/irce62232.2024.10739779,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0014,Boundary-driven granular ball generation and classification via three-way decision,2026,Information Sciences,classification; decision analysis,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2026.123780,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0015,Granular-Ball Three-Way Decision for Robust Text Classification,2025,Lecture Notes in Computer Science,classification; decision analysis,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-92741-6_12,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0016,A Granular-Ball SVM Based on Three-Way Decision,2025,Lecture Notes in Computer Science,decision analysis,granular ball,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,SVM,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-92741-6_3,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0017,MFGB-S3W Denoiser: Multi-scale Fuzzy Granular-Ball and Sequential Three-Way Decision for Remote Sensing Image Denoising,2026,Communications in Computer and Information Science,decision analysis,granular ball; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-981-95-8262-4_11,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0018,Granular Ball Fuzzy Neighborhood Rough Sets-Based Feature Selection via Multiobjective Mayfly Optimization,2024,IEEE Transactions on Fuzzy Systems,classification; feature selection,granular ball; rough-set neighborhood; rough-set approximation,granular-ball generation; neighborhood,entropy/information; radius/distance,not reported in metadata/abstract,not reported in metadata/abstract,entropy,classification decision; ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tfuzz.2024.3440575,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0019,Intuitionistic Fuzzy Three-Way Decision Model Based on the Three-Way Granular Computing Method,2020,Symmetry,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; probabilistic,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3390/sym12071068,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0020,A Three-Way Incremental Granular-Ball Classifier Using Shadowed Set,2026,IEEE Transactions on Emerging Topics in Computational Intelligence,classification; stream/online learning; decision analysis,granular ball; shadowed set,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tetci.2026.3657948,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0021,Attribute reduction for partially labeled hybrid data based on generalized granular-ball neighborhood rough set model and Student-t kernel,2026,Information Sciences,feature selection,granular ball; rough-set neighborhood; rough-set approximation,granular-ball generation; neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2026.123424,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0022,Incremental reduction methods based on granular ball neighborhood rough sets and attribute grouping,2023,International Journal of Approximate Reasoning,not reported in metadata/abstract,granular ball; rough-set neighborhood; rough-set approximation,granular-ball generation; neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2023.108974,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0023,Efficient and rapid attribute reduction based on local T-spherical fuzzy granular ball neighborhood rough sets,2026,Applied Soft Computing,feature selection,granular ball; rough-set neighborhood; rough-set approximation; fuzzy granule,granular-ball generation; neighborhood; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2025.114091,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0024,A three-way decision combining multi-granularity variable precision fuzzy rough set and TOPSIS method,2025,International Journal of Approximate Reasoning,decision analysis,rough-set approximation; fuzzy granule,fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; fuzzy membership,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2024.109318,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0025,Sequential Three-Way Decision of Tolerance- Based Multi-Granularity Fuzzy-Rough Sets,2019,IEEE Access,decision analysis,rough-set approximation; fuzzy granule,hierarchical/multi-level; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; fuzzy membership,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/access.2019.2954086,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0026,Three-way decision with granular rough sets,2025,Applied Soft Computing,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2025.113344,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0027,A novel granular computing model based on three-way decision,2022,International Journal of Approximate Reasoning,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2022.01.015,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0028,"New advances in three-way decision, granular computing and concept lattice",2020,International Journal of Machine Learning and Cybernetics,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/s13042-020-01117-3,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0029,Knowledge enhanced data analytics based on three-way decision and granular computing,2025,Applied Soft Computing,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2025.112712,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0030,Fuzzy Advantage Granular Ball Rough Set for Feature Selection via Deep Reinforcement Learning,2026,IEEE Transactions on Fuzzy Systems,classification; feature selection,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,purity,not reported in metadata/abstract,not reported in metadata/abstract,purity proxy,classification decision; ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tfuzz.2026.3670185,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0031,Granular Computing and Sequential Three-Way Decisions,2013,Lecture Notes in Computer Science,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-642-41299-8_3,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0032,Advances in three-way decisions and granular computing,2016,Knowledge-Based Systems,decision analysis,points/objects or not reported,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.knosys.2015.10.026,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0033,Granular-ball fuzzy rough set-based semi-supervised feature selection for label distribution learning,2026,Applied Soft Computing,feature selection,granular ball; rough-set approximation; fuzzy granule,granular-ball generation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,fuzzy membership,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2026.115865,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0034,A Robust Three-Way Classifier With Shadowed Granular Balls Based on Justifiable Granularity,2025,IEEE Transactions on Neural Networks and Learning Systems,classification,granular ball,granular-ball generation,entropy/information,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; entropy,classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/tnnls.2025.3563889,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0035,Innovative multi-granularity granular-balls rough set for feature selection: Driving generalized multi-granularity rough set evolution with Zentropy integration,2025,Information Sciences,clustering; feature selection,granular ball; rough-set approximation,granular-ball generation,entropy/information,not reported in metadata/abstract,not reported in metadata/abstract,entropy,ranking/selection; cluster assignment,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ins.2025.122411,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0036,Improving multi-label classification under imbalance: A granular-ball rough set approach,2026,International Journal of Approximate Reasoning,classification,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2026.109669,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0037,A Weighted Granular-Ball Rough Set: Model and Attribute Reduction,2024,2024 International Conference on Machine Learning and Cybernetics (ICMLC),classification; feature selection,granular ball; rough-set neighborhood; rough-set approximation,granular-ball generation; neighborhood,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision; ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1109/icmlc63072.2024.10935042,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0038,An integrated weighted granular-ball rough set model for attribute reduction,2026,Knowledge and Information Systems,feature selection,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/s10115-026-02849-4,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0039,Clinical Medical Test Decision-Making of Liver Disease Using Granular-Ball Rough Set,2024,Lecture Notes in Computer Science,decision analysis,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/978-3-031-65668-2_18,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0040,Granular-ball rough set for robust twin support vector classification in medical image detection,2026,Applied Soft Computing,classification,granular ball; rough-set approximation,granular-ball generation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.asoc.2026.115875,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0041,Structured approximations as a basis for three-way decisions in rough set theory,2019,Knowledge-Based Systems,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.knosys.2018.11.022,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0042,Multi-objective attribute reduction in three-way decision-theoretic rough set model,2019,International Journal of Approximate Reasoning,classification; feature selection; decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision; ranking/selection,rough-set reducer,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.ijar.2018.12.008,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0043,On modeling similarity and three-way decision under incomplete information in rough set theory,2020,Knowledge-Based Systems,classification; decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject; classification decision,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1016/j.knosys.2019.105251,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0044,A three-way decision method based on fuzzy rough set models under incomplete environments,2021,Information Sciences,decision analysis,rough-set approximation; fuzzy granule,fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; fuzzy membership,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ins.2021.06.088,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0045,Three-way decision based on confidence level change in rough set,2022,International Journal of Approximate Reasoning,decision analysis,rough-set approximation,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1016/j.ijar.2022.01.007,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0046,Three-Way Decisions Making Using Covering Based Fractional Orthotriple Fuzzy Rough Set Model,2020,Mathematics,decision analysis,rough-set approximation; fuzzy granule,fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; fuzzy membership,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3390/math8071121,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0047,Conflict Analysis Triggered by Three-Way Decision and Pythagorean Fuzzy Rough Set,2024,International Journal of Computational Intelligence Systems,decision analysis,rough-set approximation; fuzzy granule,multi-granulation; fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; fuzzy membership,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.1007/s44196-023-00378-4,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0048,Three-way decisions with decision-theoretic rough sets based on covering-based q-rung orthopair fuzzy rough set model,2021,Journal of Intelligent &amp; Fuzzy Systems,decision analysis,rough-set approximation; fuzzy granule,fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; fuzzy membership,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,abstract-coded,https://doi.org/10.3233/jifs-202291,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
P0049,Constructing Robust Fuzzy Rough Set Models Based on Three-way Decisions,2021,Cognitive Computation,decision analysis,rough-set approximation; fuzzy granule,fuzzy,not reported in metadata/abstract,not reported in metadata/abstract,not reported in metadata/abstract,three-way boundary/defer region; fuzzy membership,three-way accept/defer/reject,not reported in metadata/abstract,requires full-text verification,not reported in metadata/abstract,requires full-text verification,requires full-text verification,unknown; repository search pending,requires full-text verification,not inferred before method/full-text review,metadata-only,https://doi.org/10.1007/s12559-021-09863-4,"Controlled keyword coding; unknown fields are deliberate, not negative evidence."
